,description,spotify_id,name,no_tracks
1781,From the very deep spirit of the almighty North. Cover: Wardruna,37i9dQZF1DWXhcuQw7KIeM,Northern Spirits,84
1782,"Whether you call it technical, progressive or math metal, it all djents. Cover: Erra",37i9dQZF1DX6GRSnGELn7L,Got Djent?,100
1783,"Epic and melodic metal, for the dragonslayer in you! Cover: Orden Ogan",37i9dQZF1DX37bXS7EGI3f,Epic & Melodic,83
1784,A salute to all of the women that like it loud & heavy. Cover: Within Temptation,37i9dQZF1DWXDJDWnzE39E,Heavy Queens,100
1785,A collection of the biggest Metal classics of the 10s. Cover : Rammstein,37i9dQZF1DWUnhhRs5u3TO,10s Metal Classics,120
1786,Instrumental only. For the maniacs out there. Cover: pg.lost,37i9dQZF1DWUk47CLxI4Uo,Instrumental Madness,130
1787,A collection of the best metal ballads.,37i9dQZF1DX1kydukZhLms,Metal Ballads,110
1788,Metal tracks all the way from the birth of Metal to today. Cover: Black Sabbath,37i9dQZF1DX4jCqmsDQR1i,Metal Empire,112
1789,A collection of Industrial Metal fresh and old tunes. Cover: Rob Zombie,37i9dQZF1DX29LQDcJ6Xy7,Industrial Metal,101
1790,Digging deep into the history of 00s Metal. Maybe rediscover old favorites?,37i9dQZF1DWUrdml94k1Rt,Deep Dive - 00s Metal,250
1791,A collection of the best Metal covers out there. Cover: The Hu,37i9dQZF1DWUJiNTfqDwyS,Metal Covers,108
1792,Fresh and recent tracks from the world of Prog Metal. Cover: Soen,37i9dQZF1DX5wgKYQVRARv,Progressive Metal,130
1793,"Between Hardcore, Grindcore, Death metal, Slam, discover the new scene of extreme music. Cover: Paleface",37i9dQZF1DWXV6myh1fJyL,Heavy Beatdown,92
1794,A selection of the greatest Thrash Metal tunes. Cover: Slayer,37i9dQZF1DXbyrUWMp2Tkr,Thrash Metal Essentials,92
1795,For the Hard Rock and full volume lovers. Cover: AC/DC,37i9dQZF1DX1X7WV84927n,Hard Rock,115
1796,Digging deep into the history of 90s Metal. Maybe rediscover old favorites?,37i9dQZF1DWZ0C2766By5p,Deep Dive - 90s Metal,180
1797,A collection of Black Metal classics. Cover: Behemoth,37i9dQZF1DWW4nzWPdpBAz,Black Metal Essentials,96
1798,"For the Doom, Sludge and Postcore lovers. Cover : Cult Of Luna",37i9dQZF1DX01pnDyBSEgS,Doom & Sludge,119
1799,Open your mind and explore the most innovative and forward thinking metal of today. Cover: Zeal & Ardor,37i9dQZF1DWY5ai7gxfuaS,The oTHERS,88
1800,A selection of the greatest Death Metal & Grindcore classics. Cover: Death,37i9dQZF1DX5dWVbnmtiDv,Death & Grind Classics,160
1801,A selection of the greatest Progressive Metal classics. Cover: Tool,37i9dQZF1DX3t4g5jBiG8c,Progressive Metal Classics,74
1802,All the new tunes in the Thrash world.,37i9dQZF1DWZdFtcHGe8ED,Thrashers,120
1803,"Death, Grind and Extreme stuff, mixing recent and fresh new tracks. Cover: Asphyx",37i9dQZF1DWT9SRKhOEUYj,Death Metal & Beyond,118
1804,A collection of recent tracks from the world of black and dark metal. Cover: Akhlys,37i9dQZF1DXbl9rMxGEmRC,Black & Dark Metal,118
1805,"Heavy new bands you need to have an eye on. 
Cover: Shepherds Reign",37i9dQZF1DXdiUbJTV2anj,New Blood,115
1806,Enjoy one of the greatest Metal festival in history!,37i9dQZF1DX5hkGHr0ICaZ,The Metal Festival,90
1807,"Head over to <a href=""spotify:show:2oE9TsRdFxq1hWfDj8zCrl"">Spotify Metal Talks</a> to listen to the full episode! Now as a podcast!",37i9dQZF1DX4Woqxy7tpda,Metal Talks | Dark Tranquillity,1
1808,The biggest Island infused pop music in the world. Cover: Jada Kingdom,37i9dQZF1DWX1DwkjCqoyw,Island Pop,50
1809,The best in new & current Dancehall. Cover: Busy Signal,37i9dQZF1DXan38dNVDdl4,Dancehall Official,86
1810,The best in old & new Reggae. Cover: Beres Hammond,37i9dQZF1DWSiyIBdVQrkk,One Love,110
1811,The best in new and current Reggae. Cover: Kabaka Pyramid,37i9dQZF1DX7GUbRHVEX42,Irie,57
1812,Classics you can catch a wine to.,37i9dQZF1DWWDLvD3P5wOG,Dancehall Throwback,80
1813,The ultimate reggae playlist. Cover: Bunny Wailer,37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60
1814,The biggest and best tracks in Soca from all the islands.,37i9dQZF1DWW7BONj8RiqI,Massive Soca Hits,100
1815,Celebrating Haitian music. Cover: Naïka.,37i9dQZF1DX3XjJqhm9fqD,Haitian Heat,71
